Ref,Val,Package,PosX,PosY,Rot,Side
"Q59","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",57.150000,-147.320000,180.000000,top
"Q60","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",61.112880,-147.320000,180.000000,top
"Q61","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",73.144380,-128.071880,90.000000,top
"Q62","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",73.262880,-157.480000,90.000000,top
"Q63","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",80.700880,-128.071880,90.000000,top
"Q64","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",83.112880,-157.480000,90.000000,top
"Q65","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",81.012880,-138.430000,0.000000,top
"Q66","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",84.912880,-138.430000,0.000000,top
"Q67","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",80.912880,-147.320000,180.000000,top
"Q68","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",84.712880,-147.320000,180.000000,top
"Q69","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",72.999600,-138.430000,0.000000,top
"Q70","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",77.112880,-138.430000,0.000000,top
"Q71","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",72.912880,-147.320000,180.000000,top
"Q72","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",77.012880,-147.320000,180.000000,top
"Q73","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",55.912880,-166.370000,90.000000,top
"Q74","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",63.612880,-166.370000,90.000000,top
"Q75","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",65.074800,-176.530000,0.000000,top
"Q76","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",69.012880,-176.530000,0.000000,top
"Q77","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",65.212880,-185.420000,180.000000,top
"Q78","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",69.037200,-185.420000,180.000000,top
"Q79","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",57.212880,-176.530000,0.000000,top
"Q80","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",61.012880,-176.530000,0.000000,top
"Q81","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",57.612880,-185.420000,180.000000,top
"Q82","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",61.412880,-185.420000,180.000000,top
"Q83","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",71.412880,-166.370000,90.000000,top
"Q84","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",79.112880,-195.580000,90.000000,top
"Q85","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",80.512880,-166.370000,90.000000,top
"Q86","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",86.612880,-195.580000,90.000000,top
"Q87","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",80.912880,-176.530000,0.000000,top
"Q88","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",84.712880,-176.530000,0.000000,top
"Q89","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",80.912880,-185.420000,180.000000,top
"Q90","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",84.912880,-185.420000,180.000000,top
"Q91","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",73.012880,-176.530000,0.000000,top
"Q92","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",76.812880,-176.530000,0.000000,top
"Q93","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",73.012880,-185.420000,180.000000,top
"Q94","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",76.712880,-185.420000,180.000000,top
"Q95","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",62.612880,-195.580000,90.000000,top
"Q96","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",71.112880,-195.580000,90.000000,top
"R1","DNP","R0603",156.888000,-53.150000,90.000000,top
"R2","DNP","R0603",158.475000,-75.325000,270.000000,top
"R3","DNP","R0603",159.575000,-79.325000,270.000000,top
"R4","DNP","R0603",148.950000,-50.263000,0.000000,top
"R5","DNP","R0603",146.875000,-50.275000,180.000000,top
"R6","DNP","R0603",142.600000,-82.100000,0.000000,top
"R7","DNP","R0603",140.350000,-78.750000,90.000000,top
"R8","DNP","R0603",145.775000,-47.300000,90.000000,top
"R9","R","R0603",158.275000,-130.550000,270.000000,top
"R10","R","R0603",154.825000,-77.250000,270.000000,top
"U2","74HC597","SO-16-N",155.059380,-112.387380,0.000000,top
"U3","74HC597","SO-16-N",154.559000,-137.033000,0.000000,top
